gameId,gameDateTimeEst,hometeamCity,hometeamName,hometeamId,awayteamCity,awayteamName,awayteamId,homeScore,awayScore,winner,gameType,attendance,arenaId,gameLabel,gameSubLabel,seriesGameNumber,home_gameId,home_teamId,home_team_rolling_assists,home_team_rolling_blocks,home_team_rolling_steals,home_team_rolling_fieldGoalsPercentage,home_team_rolling_threePointersPercentage,home_team_rolling_freeThrowsPercentage,home_team_rolling_reboundsTotal,home_team_rolling_turnovers,home_team_rolling_plusMinusPoints,home_team_rolling_pointsInThePaint,away_gameId,away_teamId,away_team_rolling_assists,away_team_rolling_blocks,away_team_rolling_steals,away_team_rolling_fieldGoalsPercentage,away_team_rolling_threePointersPercentage,away_team_rolling_freeThrowsPercentage,away_team_rolling_reboundsTotal,away_team_rolling_turnovers,away_team_rolling_plusMinusPoints,away_team_rolling_pointsInThePaint
22400002,2024-11-12 19:00:00+00:00,Detroit,Pistons,1610612765,Miami,Heat,1610612748,123,121,1610612765,Regular Season,17806.0,624.0,Emirates NBA Cup,East Group B,0.0,22400002,1610612765,24.1,6.1,5.1,0.46909999999999996,0.3446,0.739,46.6,16.7,-2.2,47.6,22400002,1610612748,25.8,4.4,10.1,0.44279999999999997,0.3948,0.744,42.8,12.6,-0.3,43.6
22400001,2024-11-12 19:00:00+00:00,Boston,Celtics,1610612738,Atlanta,Hawks,1610612737,116,117,1610612737,Regular Season,19156.0,17.0,Emirates NBA Cup,East Group C,0.0,22400001,1610612738,23.0,4.9,8.1,0.445,0.34929999999999994,0.8195000000000002,43.8,12.4,9.3,41.6,22400001,1610612737,28.3,4.9,9.9,0.4626999999999999,0.3487,0.7957,42.3,14.9,-6.5,53.8
22400003,2024-11-12 19:00:00+00:00,Orlando,Magic,1610612753,Charlotte,Hornets,1610612766,114,89,1610612753,Regular Season,17541.0,1000125.0,Emirates NBA Cup,East Group A,0.0,22400003,1610612753,24.4,5.8,8.7,0.44509999999999994,0.2969,0.7815000000000001,41.6,14.4,0.0,48.0,22400003,1610612766,22.3,5.0,7.4,0.4325,0.35140000000000005,0.7788999999999999,46.0,15.1,-3.0,41.4
22400004,2024-11-12 19:30:00+00:00,Philadelphia,76ers,1610612755,New York,Knicks,1610612752,99,111,1610612752,Regular Season,19758.0,419.0,Emirates NBA Cup,East Group A,0.0,22400004,1610612755,20.7,3.4,8.6,0.43010000000000004,0.30569999999999997,0.7434000000000001,40.6,14.2,-8.3,46.0,22400004,1610612752,25.1,3.8,6.9,0.48929999999999996,0.37229999999999996,0.8005999999999999,41.2,11.6,2.8,48.4
22400005,2024-11-12 20:00:00+00:00,Milwaukee,Bucks,1610612749,Toronto,Raptors,1610612761,99,85,1610612749,Regular Season,17341.0,642.0,Emirates NBA Cup,East Group B,0.0,22400005,1610612749,21.5,5.0,6.5,0.47540000000000004,0.35480000000000006,0.7102999999999999,43.4,13.3,-5.1,45.4,22400005,1610612761,30.2,4.9,8.2,0.4725,0.3227,0.7408,44.4,15.5,-5.2,60.2
22400006,2024-11-12 21:00:00+00:00,Utah,Jazz,1610612762,Phoenix,Suns,1610612756,112,120,1610612756,Regular Season,18175.0,1000106.0,Emirates NBA Cup,West Group B,0.0,22400006,1610612762,22.8,6.2,6.8,0.41319999999999996,0.3082,0.8031,45.5,18.6,-16.3,43.2,22400006,1610612756,27.4,5.5,7.4,0.4728,0.37720000000000004,0.7950999999999999,44.5,13.2,2.1,41.6
22400007,2024-11-12 22:00:00+00:00,Golden State,Warriors,1610612744,Dallas,Mavericks,1610612742,120,117,1610612744,Regular Season,18064.0,1000011.0,Emirates NBA Cup,West Group C,0.0,22400007,1610612744,30.2,5.7,9.6,0.4789,0.39449999999999996,0.7424999999999999,48.2,13.3,11.9,50.0,22400007,1610612742,25.6,4.6,7.7,0.4746,0.34559999999999996,0.768,44.2,11.1,4.0,52.2
22400008,2024-11-12 22:00:00+00:00,Portland,Trail Blazers,1610612757,Minnesota,Timberwolves,1610612750,122,108,1610612757,Regular Season,16880.0,51.0,Emirates NBA Cup,West Group A,0.0,22400008,1610612757,20.6,5.7,8.5,0.4338,0.3073,0.7572,44.3,15.3,-8.6,51.6,22400008,1610612750,26.4,4.8,7.2,0.47840000000000005,0.39320000000000005,0.7903,42.3,15.6,5.4,44.6
22400011,2024-11-15 19:00:00+00:00,Toronto,Raptors,1610612761,Detroit,Pistons,1610612765,95,99,1610612765,Regular Season,19245.0,643.0,Emirates NBA Cup,East Group B,0.0,22400011,1610612761,29.7,4.2,8.2,0.46130000000000004,0.33259999999999995,0.736,44.4,15.0,-7.4,58.0,22400011,1610612765,25.0,6.0,5.4,0.4659999999999999,0.3516,0.7492,48.1,16.4,-0.9,49.0
22400010,2024-11-15 19:00:00+00:00,Orlando,Magic,1610612753,Philadelphia,76ers,1610612755,98,86,1610612753,Regular Season,17843.0,1000125.0,Emirates NBA Cup,East Group A,0.0,22400010,1610612753,24.6,6.2,8.7,0.4373,0.2752,0.806,42.9,14.1,2.7,48.0,22400010,1610612755,21.4,3.7,9.0,0.433,0.3207999999999999,0.7803,39.1,13.8,-7.3,42.8
